X_test,y_test
the punishment should fit the crime for instance if you take the last twinkie you should choke on that twinkie twinkies are sacred,neutral
holder8217s justice department isn8217t interested in the facts in ferguson these race hustling bitches are disgraceful,hate_speech
mine pussy,offensive
eh bitch how about you worry about your own psychotic ass looks like you need to be saved from being a noisy bitch 999665039128139 cantstanducunt,hate_speech
you lil stupid lil bitch she aint fuckin with you bug sean voice,offensive
wassup wit all these fucc niccas,hate_speech
punk ass cop jus bulldogged that bitch,offensive
the fuck r u talking about i told u once and am going to tell u against nigga i love white bitch gtf bro,hate_speech
lmaooooo we cant wash that baby ass honda you got cause that hoe dont cost more than 1200,offensive
hes sayinghe doesnt discriminate he like darkskin hoes he like lightskin hoes he like asians as long as they bad,offensive
who else hated this bitch nigga,hate_speech
i could have died i called my mom a bitch lmao,offensive
bitch kill yoself go on to the bathroom and eat the pills bitch all of em,hate_speech
9829,offensive
ha lol like at selenas horny bitch lol,offensive
a white lighter is bad luck not yellow ur stupid,neutral
i aint been to the fair since i was like 8 and i havent wanted to go since then either for some reason too many niggers for me,hate_speech
if you are nice girls they will be bitches to you if you are an asshole girls will want your dick womanlogic,offensive
8220 is hoe by association a real thing8221 yes,offensive
fuck the islamic state we will kill those cunts127468127463,hate_speech
i was in a kik group once but we called it a party line and old charlie the barber was always hogging the calls,neutral
8220 its cute af bitch8221128514128514 i believe u its jus getting pass trusting u wit a needle to someone head128114,offensive
damn hoe you so ugly even hello kitty said goodbye,hate_speech
the way this niggah just flinched at this movie was priceless,hate_speech
dude i work with is so pussy,offensive
if you dont see the connection between legitimizing the queer lifestyle and an increase in stds and sexual deviancy yo,hate_speech
if you hang with hoes youre a hoe by association if you try and debate this youre a hoe if you get offended by this youre a hoe128175,offensive
a yellow jacket landed on my mouth and stung me while i was cutting grasssafe to say he won 128029,neutral
i really hate attention seeking hoes hope they all die,hate_speech
fucking block your white ass because you try to start shit like a fucking queer so fuck you nigga,hate_speech
chill rt if i ever become president imma ban henny from america for a day just to see you negroes panic gotcha bitch,hate_speech
this bitch possessed by the thot demon,offensive
calling these nasty hoes out mrs wells is too real128514128514128514,offensive
is so excited about his red velvet brownie,neutral
nick young says that close to 100000 worth of money watches sneakers and clothes were stolen from his house last nig8230,neutral
fucking gook,hate_speech
dutch people who live outside of newyorkcity are all white trash,hate_speech
i think i figured out where white trash americans come from the rural parts of europe,offensive
faggot,hate_speech
people are fucking retarded lol,hate_speech
and black women need to stop referring to themselves and other sisters as hoes amp bitches it really aint a good look8230,offensive
the nations know who we are but we rather be real niggers amp bad bitches,hate_speech
put the redskins in your starting lineup instead of the dolphinsitll be fun they said,neutral
i dont work for pussy the code of a real man,offensive
i think im addicted to naked pictures and sitting taking bout bitches that we almost had128517,offensive
ive been at work chuckling at that time said not revealing your age keeps the pussy fresh 128514128557128557128557128514,offensive
lifes a bitch and then you die thats why we get high cause you neva know when youre gonna go my sister is perfect,offensive
dyke bitches kill me thinkin they really got hoes lol,hate_speech
lowkey youre still my bitch 128527,offensive
drop it down for a niggah,offensive
this is retarded,hate_speech
at least im not black bitch your parents left you in the mcdonalds parking lot after you were born,hate_speech
im about to post my charlie clips vs yung ill rap battle review in a few,neutral
quit hurting these women cuz im tired of all the bitterness a nigga gotta go through cuz you a hoe ass nigga,offensive
hoodie is a little bitch when was the last time you heard about hoodies team mike put all hi8230,offensive
god damn thats one manly bitch,offensive
ok they have 2 niggers in raw,offensive
you gotta be able to keep a bitch on her feet or shell be on her knees with the next nigga,offensive
honestyhour we dont love these hoes,offensive
fuck off my pussy boi bitch,offensive
to late niggers died first,offensive
yo main bitch thats my side hoe,offensive
bad bitches get in free night at weenie hut jrs,offensive
everybody think i get hoes and think ima playa but honestly im in my crib wondering bout if my mom making yellow or whi8230,offensive
yes yes i know all about the fob reconciliation it was my idea youre welcome,neutral
august alsina ghetto 128158,offensive
am the bitch but u the one steady talking stfu and be bout shit hoe ass nigga,offensive
lmao rt rt yes amp no rt is it ok to beat a bitch up over some tweets or nah,offensive
how about darkskin dykes,offensive
he a bitch you should do it,offensive
im a queer mmm,offensive
and how is that what im suppose to go for the team who beat us thats retarded,offensive
karma is a bitch damn godprotectshisangels 128588 sips tea,offensive
gotta watch these hoes 128064 i swear 128079,offensive
it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao,hate_speech
i aint got no typebad bitches is the only thing that i like,offensive
nappy headed hoes cant call anyone ugly stop embarrassing yourself pls,offensive
i ont like that game wit that retarded ass bird 128530,offensive
if you dont make her go to sleep after yall fucked then your pipe game trash,offensive
you nigga eating these hoes pussy but they aint worth it,offensive
bitch and the fuck u wanna do about then nigga stfu talking and do something,offensive
my bitch won ralphy for me thanks 128139,offensive
yep lmao its been a hectic few weeks waddup ho,offensive
it happens again black pack beats whitey this should make national news,hate_speech
kill yourself ugly ass monkey looking shit,hate_speech
fuck around and get your honeybun took in that bitch with all that crying nigga,offensive
when it rains its good go to the mall weather all the coons be at home,hate_speech
all people do in my house is bitch,offensive
i hate bitches with bad eyebrows,offensive
youre fucking gay blacklisted hoe holding out for tehgodclan anyway,hate_speech
all the bitches happy maybe one of his female friends can find him a bitvj,offensive
gayer then 2 faggots in bed together128129,hate_speech
the fck dem bitches always got sum shit wit them,offensive
dont even entertain these hoes got somebody too important,offensive
8220what are you twelve8221 yeah on a scale of one to ten bitch,offensive
tanks a lot dare mr pubes i love my uncle tom,offensive
turn a hoe into a house wife you bet not,offensive
should i be worried that a lady behind my building is talking to a crow,neutral
my sister is such a bitch 1285149994,offensive
you said i texted u and told u i missed you yeah i did bitch like 4 weeks ago grow up,offensive
holy shit i am just getting dunked on by a cripple this is unreal,offensive
always eatin good wit my niggah and good lookin on the cd my boy got some heat now i can bump some bangers,offensive
8220 8220 prince this is art nobody takin his bitch,offensive
so many bitches in one sentence fixitjesus,hate_speech
you know you married a hoe ass bitch when she let the nigga come over and let the nigga take ya porn dvds,offensive
yall niggas aint talking bout nothin not a thang not a not a thang hoe,offensive
im a faggot,hate_speech
im obviously not talking about cod because that game is for queers,hate_speech
128514128514128514 youre a coon,hate_speech
8220 i try to keep all my bitches on lay away8221 same way i feel,offensive
im tired of dat bitch mannn128553128553128553,offensive
i swear i thought you were describing a pussy i gotta go to bed,offensive
faggot,hate_speech
why the most ratchet bitches be talkin shit yall got nothing better to do but talk shit pick up the liq and hop on a dick,offensive
look at this bad bitch,offensive
8220 128525128525128525128525 in the yellow is rock hard,offensive
that aint my hoe this is the same man that wants to be godly,offensive
8220 is that fire works 128165 or pussy poppin8221 nigga wtf sounds like something youd say,offensive
that hoe wanta 66,offensive
seegt its a fine linegt killing faggots doesnt change the source of their creation which is stupid people overbreedinggt periodgt,hate_speech
johnny rebel quit your bitchin nigger,hate_speech
bad bitches only,offensive
i named my dick the truth cuz bitches cant handle it lmao,offensive
and who said i didnt like myself where the fuck u got shit from u made that up stfu and stop assuming and bitch am not ugly,offensive
ew wtf lol8220 lmfaooooo rt lmfaooooooooo bitches goin gay for this,offensive
kyle im hungry quit talking and lets go hoe,offensive
the nig is fun to watch got to admit ebola boy can speak broken spanish too lol,hate_speech
best believe we aint no christian slave brainwash black spooks miss white man unlike yoself she devil,hate_speech
get some money and stop playing that old trash,neutral
pussy,offensive
when you know for a fact you got a woman who loves you other bitches dont even matter,offensive
so terms like honkey cracker peckerwood and stereotypes of white people fucking their kids and sisters isnt racist sweet,hate_speech
bitch am not gonna shut shit up feel free to join them,offensive
i hate bees man they be like buzz buzz bitch and im like nah man i aint done shit to you,offensive
up early then a bitch driving to denton omg can i move already,neutral
because shes a nigger,hate_speech
just bc your hair is laid or wuteva dont mean nothin yo shit gotta smell marvelous dont no nigga want a bitch who smell like burnt weave,offensive
pnd is my jigga man,neutral
i like that your room isnt a big sloppy mess like most of these twitter hoes,offensive
i made you lunch you fat faggot 128128,hate_speech
dat means get the fuck out hoe i be thinkin,offensive
yall hoes avoid schemes,offensive
bae gotta bitch 128514 whoops 128564,offensive
burn bitch,hate_speech
thats ya bm tho rt that aint my hoe,offensive
people on this site are fucking retarded sometimes,hate_speech
