text,standardized_label,source
so you about to purpose to charlie,neutral,davidson
your mind is free and your soul satan will present to u in his kingdom the things that mock u stay strong in yahshua,neutral,davidson
white kids black kids yellow kids hell even purple kids if you carry yourselves like daniel geale you will go far gealemundine2,neutral,davidson
god damn zebras every virginia possession the whistle blows geeze,neutral,davidson
scores dont matter in spring training man,neutral,davidson
conoc237 tus ojos negros y ahora si que no puedo vivir sin ellos,neutral,davidson
im having a date at yankee field then getting kiss cam bucketlist,neutral,davidson
doug martin trash,neutral,davidson
iu should make me an honorary student id be way cooler than the other international students i have my own football card hoosiers,neutral,original
royal city of the kushite kings at meroe sudannear river nileit was the seat of the rulers who occupied egypt,neutral,davidson
so lets see what you look like in the am without the 10 filters and colored contact lenses your followers are dying to know,neutral,davidson
for real this game is pub trash lets do drugs and get smashed,neutral,davidson
also as part of my release day gift yes we get those this adorable bumblebee bear montlake,neutral,davidson
need to start mcbob because williams only shoot let him play with bird,neutral,davidson
dafuq is floppy bird,neutral,davidson
they trash,neutral,davidson
my bird got a headache 128527128530,neutral,davidson
whoooooaaa no chill savage 8220 here monkey monkey,neutral,davidson
matai ngeli alu o polosi ho nifo,neutral,davidson
yes yes i know all about the fob reconciliation it was my idea youre welcome,neutral,original
school schoo scho sch sc s st sta stay stay h stay ho stay hom stay home,neutral,davidson
8220thats a very nice jig kearney now isnt dancing much more fun than bullying,neutral,original
i really want a girl to make me some brownies 128553128557,neutral,davidson
worldseriesgame3 hunter pence is so annoying he should be a red sox player shave fool and take your vyvanse991865039991865039128074128074yankees 2015,neutral,davidson
you may cry after watching the derek jeter ad,neutral,original
yall gots to take da colored vacation kentucky fried chicken but only da white meat,neutral,davidson
muzzled pit bull with throat slit found on side of road in pa via hideous abuse throat slit left to die,neutral,original
also it8217s a hiccup to jihadi propaganda they portray themselves as the only ones willing to die for their cause,neutral,davidson
when i die on flappy bird,neutral,original
whoa easy amy dont slag the canucks too much with such a generalization,neutral,davidson
that warm fuzzy feeling when youre able to give someone a helping hand talking about medical problems with others can really help,neutral,davidson
8220 lakers really trash8221128686,neutral,davidson
derekjeter as a lifelong yankees man i will miss you firstballot unanimous,neutral,original
i want some monkey bread 128553128588,neutral,original
hahaha chunky goalkeeper makes a save with his stomach,neutral,original
id kill to meet charlie sheen,neutral,davidson
