text,label
cute dumb females trash,neutral
if you aint bout that murder game pussy nigga shut up,offensive
all the hoes on loveandhiphop going to prom 128514128514128514,offensive
if having hoes excite you you still a lil nigga 128581,offensive
im done with life im just ready to wake up and have pussy for breakfast everyday,offensive
anyone who came to the us as an indentured servant is white trash,hate_speech
you a bitch edgar,offensive
that larry the cucumber tweet is funny af but its a bit much to rt you young bitches might cry128514128514128514,offensive
fuck you spear chucker,hate_speech
you a hoe for that im rolling 128514128514128514128514128514,offensive
oomf make my skin itch like ew bitch,offensive
whats with all these pussies turning themselves into yugioh cards lately,offensive
when dykes hear ladies free before 10,offensive
yes das def da problemif histeacher was a spear chucker he woulda gt both dose rite,neutral
idc how cute you are that shit dont matter if you got a trash personality,offensive
these hoes is crazy,offensive
anything to trash this black president,hate_speech
i didnt pull bitches in elementary school my parents couldnt afford the 64count color box with the sharpener on the back8230,offensive
ok wat ever u say whitey u prolly never even seen shaft,hate_speech
done that spell check we know you meant fat liberal dyke feminist nazi bitches,hate_speech
pumpkin spice marlboros for da hoes,offensive
bitch boy,offensive
watch ima hit that hoe later on this summer finna be the bestmost livestock party of 2014,offensive
im starting to not like meek this nig a lil to arrogant for me,hate_speech
stinky hoe,offensive
yoga has been around for ages and these bitches just now figuring it out,offensive
9733 best asian massage on the park slope top rated spa 9733 7186220221 24,neutral
excuse me heres your nose i found it in my business hoe,offensive
ape fuck u broke ass racist,hate_speech
crew of women hillbillies amp gangsters wthe director itsawrap 999265039127916127909,neutral
i was wearing bucket hats before you basic bitches,offensive
this hoe loud,offensive
dumb bitches,offensive
how bitches look wen they hear their song in da club,offensive
new york niggas quick to take off on a bitch in public boy lol,hate_speech
jesus walks bitch,offensive
cookies n cream oreo fudge ice cream,neutral
hide ur bitches or else,offensive
if racial minorities werent criminally inclined they wouldnt have so much to worry about act your color race traitor,hate_speech
this being single shit is really trash especially when you aint got nobody to text after midnight,offensive
someone who claims theyre a bad bitch shouldnt get offended so easily,offensive
ugly hoes be the loudest u need to duck off amp hide yourself frfr,offensive
jus wanted to let y225ll know hope the hurricane kills your soca sunday trash lordwillin,hate_speech
aye its a lot of niggas out here that cant fuck a bad bitch unless they get her drunk smh preach,offensive
i do know one thing tho bitches they come amp go,offensive
bible rt you a hoe if you already got new years eve plans,offensive
view from the ghetto aint bad rio,neutral
lol my brother a fag mann,offensive
breaking news ur a little bitch,offensive
fuck outta here and go put some more trash ass ink on your faggot ass self pussy,hate_speech
i keep these hoes in check until they bounce,offensive
or lack of 8220 smh u niggers amp ur music knowledge8221,offensive
horrible rt invader zim was trash,hate_speech
his jeans bluer denabitch dont let him lie to you hes sick rt how you know the pussy wast overrated ht8230,offensive
jennas a faggot,hate_speech
theses niggas hoes and these bitches greedy,offensive
8220 i hate that hoe already 128514128128 128514128514128514 this shit cracks me up,hate_speech
not trying to follow any spooks no offense,hate_speech
damn son maybe he didnt know it was ya piece he was just tryna get some pussy breh,offensive
if you snipe youre a fucking faggot i fucking hope all of you snipers get fucking raped and suffer from cancer,hate_speech
girls dont let a guy treat you like a yellow starburst you are a pink starburst,neutral
if you think that the term redskins being offensive is a political issue you are ignorant,neutral
its goldbar dumb bitch and no my dad wouldnt pick you up he doesnt like faggots like you 128528128076128079,hate_speech
i cant even be away from my phone that long karlie right she is a crazy bitch128533,offensive
this is retarded,hate_speech
you be totally correct anthony can8217t be livin round dem colored folk day be bringin down da hood and dem propery value,hate_speech
were a good match cuz we both retardedn weed,offensive
these hoes kno bout me,offensive
boats and hoes,offensive
karmas a bitch and so are you youll be getting along just fine real soon,hate_speech
y dont that bitch just shoot herself so sick of all those whores,hate_speech
jason admitted youre a stuck up bitch lol which you are think youre so much better than everycunt naaaaa,hate_speech
jihadi work accident seven taliban fighters including top commander killed when roadside bombs detonate prematurely8230 h8230,neutral
8220 lol this is why i dont fuck with so many bitches8221dont call her a bitch,offensive
aint wcw jus bitches i wan fck day,offensive
im sure would add this helpful parenthetical explanation if these were redneck peckerwood teabaggers,hate_speech
im partial faggothomoboth fairly describes the same sick twisted assholes out there,hate_speech
when yall got the same baby mama and realize that bitch is the real enemy,offensive
pornandroidiphoneipadsexxxx erotic erotic and wild tits and pussy fucking,offensive
hey hoe,offensive
she really asked me that dead ass serious tho all i could say was bitch wheet lol,offensive
i prefer jameis winston to not speak on tv at all damn coon,hate_speech
128527 haahaa dumb bitch,offensive
fag fuckin pirelli tire black ass nigga whit a white boy shirt on but my nigga did loosen up a lil bitbowbow,offensive
ion like doll face hoes,offensive
at the bar in downey wit my uncle this niggah faded hopefully he doesnt get us into a fight lmao,offensive
harm this pussy instead rt missing 26yrold usc medical student last seen tuesday may harm himself,hate_speech
slightlyadjusted rt alls niggers wanna do is fuck tweet and drink pineapple soda all day,hate_speech
your acting like a spoiled little faggot have fun,hate_speech
if you get offended by tweets youre a bitch,offensive
african colored car i push niggerous whips,hate_speech
howtogetagirl do not and i repeat do not refer to her as your bitch,offensive
new nashville noise loves burgers honky tonks and grabs a pizza,neutral
its 220 and me and bruno still up in this bitch lol,offensive
ugh bad bitches picture coming soon 128514,offensive
answers phone coworker theres a dead bird outside me wanna split it cw what me sorry finders keepers ri8230,neutral
amp are bitches,offensive
im referring to the second down put vick in slot play trash,neutral
u can just ask him to suck his dick not that hard white trash,offensive
if she lives at home shes a little less likely to cheat on you and be a ho,offensive
im going to blame the black man since they always blame whitey im an equal opportunity hater,hate_speech
show last night was badass thanks to everyone who came out if you didnt come out youre a retard unless you were at cock sparrer,offensive
i know bitches be mad as shit when they friends borrow their clothes amp its a bunch of girls in her ig comments sayin how cute the outfit is,offensive
i hate my manager so much she makes me wanna throw silverware at her stupid bitch ass,offensive
i would commit the rest of my gay life to being a complete 100 submissive bottom if i could be zac efrons bitch noshame gayboyproblems,offensive
i wish my parents bought me a car man people bitch about not getting what car they want when they want it and its free8230,offensive
dont be a faggot cover your mouth when you fkn cough or sneeze i got a immune system to keep strong asshole,hate_speech
omg rt fat bitch whats her,hate_speech
so i figure out why ive been a bitch lately,offensive
dumb haitian fake black faggots go to haiti and neck yourself,hate_speech
8220 im 2 much for these niggas and 3 much for these hoes 1281298221,offensive
that makes you an annoying bitch if youre out looking to be offended you cant bitch when youre offended,offensive
if california chrome doesnt go off at even money or better i might flip a trash can over i mean damn can i get 65 oh the humanity,offensive
if were dating dont be a sensitive bitch when i insult you i expect to be insulted back,offensive
if the faggots can have a page y cant theyfaggots offend me more than them,hate_speech
8220 this is awkward u fag wonder whos awesome tank that is 128522,hate_speech
if a bitch tries to get crazy tomorrow,offensive
randies are fags,hate_speech
reasonswecantbetogether if u was talkin to my nig or smashed da homies,hate_speech
quote this with your best racist comment i need them for this white bitch comin at my black side llab,offensive
u lame then a bitch get the fuck with that gay shit,offensive
niggahs watch who you fucking just to hate on your bitches,offensive
fugly queer white trash,hate_speech
youre white arent you rolls eyes rt rip to my nigga trayvon a worthless spear chucker,hate_speech
eye witness joel is a faggot,hate_speech
im a bitch but a sweetheart u feel me,offensive
8220 rt if u remember when steve from blue clues left us with that other bitch ass nigga joe,offensive
typically hateful antichristian mentally ill and ugly dyke trash pig couple jennifer mccarthy and melisa erwin,hate_speech
get some sleep pussy,offensive
whats so good about prom all i see is another faggot ass high school dance,hate_speech
lol rt youuuuu got niggas but i dont got bitches,hate_speech
your a cunt,hate_speech
ooh yea getting all hoes,offensive
yall can have skylar diggins looks like a tranny to me,offensive
im speaking on ho niggas hoe niggaz probably dont dig natural styled hair period,offensive
nicca in my dm talkn bout follow his instagram lame nicca i now no longer follow you on twitter wheretheydothatat,offensive
new york niggas quick to take off on a bitch in public boy lol,hate_speech
ankles 1281281285148220 8220 hood bitches with long weave is the worst thing ever8221 weave that be touching their ashy ankles 1285678221,hate_speech
lmao redskins turnin up,neutral
back up faggot,hate_speech
i wish hoes didnt bore mei wouldnt have this problem and would shop at hoes r us every day,offensive
tripped balls onlsd bitch,offensive
this scally lad would get it,neutral
it happens again black pack beats whitey this should make national news,hate_speech
8220 next person i see tweeting that bitch shitting on herself im unfollowing you8221,offensive
gucci mane in jail and dropping mixtapes every month and you hoes cant even text back,offensive
i dont got that bad of a mouth do i fuck shit ass bitch cunt shooby de doo wop,offensive
ay yall heard that rich gang tape thou that bitch on flame128293,offensive
bitches be swearing they pussy soooo good 128553128530 nonsense 128545,offensive
stop flattering yourself bitch the only fan you have is on your ceiling,hate_speech
81614 mo let 8220kill some crackers kill their babies new black panthers hijack his ferguson presser,hate_speech
so niggers really believe phelps just smokin on a regular huh tell me now amp ill log off for the night,hate_speech
kill this beaner,hate_speech
if they trash in yr 3 or 4 hell waive it lol,neutral
shut up bitch it ainn complete witout money melle n it,offensive
u coons cant wait to wear them oreo js,hate_speech
shut your dirty dirt trap you limp knees ashy footed blue balls isolated hamster wheel no nipples bitch,hate_speech
im such a bitch to austin 128514128514,offensive
i hate dumb bitches,hate_speech
bitch nicca talmbout a mf 3peatdf yall aint da lakers,offensive
i love my haters they my biggest fans im on the field dem bitches in the stands,offensive
bitch do i entertain you cause you always seem to be in my business,offensive
dat means get the fuck out hoe i be thinkin,offensive
fuck a bitch we never loved a thot,offensive
thinking bout those oysters at the gator bait tho128533,neutral
we some hoes bruhhh lol,offensive
why do the trashiest really ghetto girls always get the most likes and comments on insta boys up and down their pictures a8230,hate_speech
a fufu bitch cant do nun for me but break my heart or set me up,offensive
degenerateartist knows wordsgt bo jingo dangle fan slang ho ting pang lick drum swing flick alarm bicgt but you cant hear fire can you,offensive
dont message me your number and tell me to text you im not your bitch lol,offensive
ion care fuck that hoe 999665039,hate_speech
dont my nigga me honkie,hate_speech
im on that good kush and alcohol i got some down bitches but the can crawl,offensive
half the bitches that say tfti wouldnt even go i bet,offensive
did the yankees make the playoffs and properly honor jeter rt orioles win,neutral
you a pussy ass nigga and i know it nigga,hate_speech
boy 128514128514128514 rt some hoes be setting themselves up for failure shit be so funny im sleep tho 128526128526128514128514,offensive
its retarded,hate_speech
sometimes females are just fucking retarded bro i swear i just want to kick yall in the ovaries,offensive
stop being a hoe so i can love you,offensive
i dont work for pussy the code of a real man,offensive
do it pussy,offensive
